RegionID,SizeRank,RegionName,RegionType,StateName,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31
394653,65,"Greenville, SC",Msa,SC,5662.0,5495.0,5743.0,5931.0,6161.0,6200.0,6225.0,6236.0,6174.0,6086.0,5889.0,5604.0,5396.0,5259.0,5522.0,5716.0,6101.0,6416.0,6780.0,7021.0,7037.0,6913.0,6592.0,6171.0,5900.0,5778.0,5874.0,5886.0,5947.0,5836.0,5718.0,5477.0,5242.0,5101.0,4837.0,4599.0,"","","","","","","",""
394952,66,"Ventura, CA",Msa,CA,1610.0,1566.0,1703.0,1880.0,2114.0,2306.0,2477.0,2592.0,2638.0,2631.0,2505.0,2300.0,2131.0,2045.0,2146.0,2269.0,2463.0,2596.0,2706.0,2691.0,2588.0,2424.0,2252.0,2005.0,1834.0,1758.0,1842.0,1850.0,1921.0,1990.0,2093.0,2044.0,1947.0,1831.0,1683.0,1476.0,1300.0,1234.0,1307.0,1368.0,1445.0,1480.0,1551.0,1607.0
394318,67,"Allentown, PA",Msa,PA,3801.0,3576.0,3612.0,3801.0,4108.0,4413.0,4606.0,4671.0,4648.0,4628.0,4496.0,4188.0,3860.0,3633.0,3675.0,3818.0,4049.0,4230.0,4318.0,4335.0,4268.0,4167.0,3932.0,3593.0,3264.0,3041.0,2969.0,2687.0,2640.0,2748.0,3032.0,3070.0,2976.0,2934.0,2801.0,2536.0,2223.0,1951.0,1901.0,1983.0,2248.0,2438.0,2586.0,2670.0
394561,68,"El Paso, TX",Msa,TX,4542.0,4573.0,4631.0,4638.0,4562.0,4431.0,4354.0,4272.0,4189.0,4126.0,4073.0,3959.0,3850.0,3770.0,3810.0,3824.0,3809.0,3871.0,3933.0,4009.0,3953.0,3922.0,3859.0,3778.0,3700.0,3749.0,3833.0,3821.0,3733.0,3598.0,3435.0,3283.0,3127.0,3065.0,2755.0,2492.0,2247.0,2207.0,2190.0,2109.0,2068.0,2007.0,2040.0,2079.0
394367,69,"Baton Rouge, LA",Msa,LA,4127.0,4193.0,4442.0,4690.0,4962.0,5205.0,5389.0,5460.0,5354.0,5272.0,5168.0,5025.0,4918.0,4893.0,5093.0,5278.0,5440.0,5561.0,5640.0,5723.0,5668.0,5571.0,5375.0,5152.0,5023.0,4990.0,5113.0,5067.0,5069.0,4947.0,4865.0,4642.0,4383.0,4160.0,3912.0,3698.0,3556.0,3404.0,3373.0,3178.0,3091.0,2934.0,2889.0,2898.0
394521,70,"Dayton, OH",Msa,OH,2883.0,2753.0,2820.0,2978.0,3150.0,3298.0,3415.0,3517.0,3578.0,3625.0,3541.0,3301.0,2979.0,2726.0,2679.0,2681.0,2758.0,2840.0,2945.0,3005.0,2978.0,2945.0,2822.0,2594.0,2378.0,2219.0,2241.0,2198.0,2218.0,2183.0,2216.0,2231.0,2265.0,2305.0,2231.0,2047.0,1816.0,1628.0,1610.0,1654.0,1768.0,1871.0,2016.0,2212.0
394843,71,"McAllen, TX",Msa,TX,2166.0,2173.0,2237.0,2268.0,2314.0,2297.0,2285.0,2306.0,2332.0,2399.0,2405.0,2394.0,2434.0,2504.0,2607.0,2602.0,2587.0,2567.0,2570.0,2563.0,2543.0,2534.0,2507.0,2453.0,2427.0,2443.0,2498.0,2463.0,2417.0,2285.0,2150.0,1962.0,"","","",1689.0,1717.0,1671.0,1635.0,1591.0,1599.0,1578.0,1527.0,1504.0
394486,72,"Columbia, SC",Msa,SC,5141.0,4935.0,4986.0,5145.0,5315.0,5359.0,5361.0,5364.0,5169.0,4992.0,4778.0,4564.0,4383.0,4221.0,4313.0,4352.0,4531.0,4799.0,5162.0,5401.0,5372.0,5193.0,4936.0,4688.0,4600.0,4530.0,4621.0,4497.0,4487.0,4252.0,4060.0,"","","","",2960.0,2773.0,2717.0,2720.0,2644.0,2624.0,2587.0,2698.0,2813.0
394648,73,"Greensboro, NC",Msa,NC,2828.0,2749.0,2825.0,2993.0,3240.0,3328.0,3369.0,3118.0,2895.0,2672.0,2580.0,2459.0,2363.0,2288.0,2383.0,2439.0,2560.0,2631.0,2736.0,2788.0,2788.0,2728.0,2626.0,2450.0,2303.0,2201.0,2242.0,2230.0,2289.0,2254.0,2228.0,2107.0,2045.0,2015.0,1926.0,1768.0,1594.0,1410.0,1256.0,983.0,805.0,648.0,640.0,677.0
394304,74,"Akron, OH",Msa,OH,4031.0,3784.0,3879.0,4130.0,4457.0,4678.0,4819.0,4880.0,4818.0,4674.0,4404.0,3995.0,3580.0,3293.0,3350.0,3557.0,3930.0,4244.0,4495.0,4561.0,4545.0,4466.0,4277.0,3962.0,3601.0,3335.0,3305.0,3213.0,3221.0,3186.0,3314.0,3367.0,3326.0,3201.0,2976.0,2633.0,2341.0,1875.0,1629.0,1420.0,1564.0,1733.0,1969.0,2176.0
753906,75,"North Port-Sarasota-Bradenton, FL",Msa,FL,9271.0,9857.0,10591.0,10806.0,10580.0,10043.0,9386.0,8922.0,8552.0,8560.0,8833.0,9187.0,9878.0,10464.0,11164.0,11098.0,10723.0,10169.0,9640.0,9223.0,8759.0,8619.0,8714.0,8852.0,9309.0,9757.0,10142.0,9757.0,9311.0,8804.0,8464.0,7973.0,7526.0,7338.0,7031.0,6672.0,6390.0,6003.0,5660.0,4955.0,4518.0,4130.0,3913.0,3877.0
394798,76,"Little Rock, AR",Msa,AR,4930.0,4791.0,4942.0,5188.0,5545.0,5798.0,5909.0,5970.0,5938.0,5881.0,5720.0,5443.0,5210.0,5097.0,5251.0,5443.0,5407.0,5275.0,5063.0,5003.0,5048.0,5088.0,5054.0,4811.0,4581.0,4505.0,4617.0,4662.0,4724.0,4689.0,4728.0,4672.0,4505.0,4327.0,3925.0,3474.0,3021.0,2770.0,2731.0,2697.0,2804.0,2882.0,3045.0,3199.0
395134,77,"Stockton, CA",Msa,CA,1324.0,1262.0,1339.0,1441.0,1598.0,1713.0,1827.0,1947.0,2042.0,2098.0,2038.0,1883.0,1727.0,1615.0,1653.0,1742.0,1864.0,2004.0,2120.0,2198.0,2220.0,2203.0,2107.0,1907.0,1686.0,1553.0,1549.0,1534.0,1565.0,1556.0,1548.0,1467.0,1405.0,1384.0,1287.0,1128.0,971.0,915.0,984.0,1074.0,1176.0,"","",""
394457,78,"Charleston, SC",Msa,SC,6280.0,6284.0,6707.0,7142.0,7530.0,7673.0,7636.0,7494.0,7180.0,7175.0,7090.0,6974.0,6811.0,6823.0,7254.0,7587.0,7916.0,8156.0,8277.0,8302.0,8016.0,7900.0,7590.0,7283.0,7012.0,6966.0,7162.0,7111.0,7229.0,7164.0,7074.0,6679.0,6281.0,6010.0,5607.0,5113.0,4611.0,4165.0,3918.0,3650.0,3540.0,3448.0,3499.0,3621.0
395143,79,"Syracuse, NY",Msa,NY,2594.0,2407.0,2417.0,2571.0,2797.0,3019.0,3224.0,3370.0,3382.0,3266.0,3036.0,2740.0,2451.0,2259.0,2260.0,2374.0,2557.0,2712.0,2840.0,2920.0,2921.0,2857.0,2641.0,2339.0,2040.0,1857.0,1794.0,1678.0,1672.0,1747.0,1896.0,1965.0,1955.0,1904.0,1734.0,1494.0,1316.0,1175.0,1164.0,1189.0,1354.0,1516.0,1639.0,1759.0
394484,80,"Colorado Springs, CO",Msa,CO,1897.0,1845.0,2051.0,2381.0,2881.0,3340.0,3729.0,3906.0,3933.0,3788.0,3538.0,3161.0,2819.0,2566.0,2607.0,2797.0,3183.0,3595.0,3893.0,4048.0,3977.0,3825.0,3466.0,3048.0,2707.0,2549.0,2738.0,2864.0,3250.0,3542.0,3900.0,3939.0,3783.0,3598.0,3232.0,2798.0,2401.0,2059.0,1960.0,1942.0,2197.0,2383.0,2596.0,2754.0
395235,81,"Winston-Salem, NC",Msa,NC,2544.0,2474.0,2626.0,2866.0,3168.0,3250.0,3321.0,3109.0,2939.0,2723.0,2615.0,2438.0,2265.0,2168.0,2305.0,2451.0,2606.0,2643.0,2670.0,2661.0,2664.0,2642.0,2568.0,2393.0,2280.0,2215.0,2340.0,2332.0,2341.0,2209.0,2142.0,2047.0,1980.0,1959.0,1868.0,1720.0,1528.0,1337.0,1204.0,976.0,794.0,629.0,585.0,604.0
395224,82,"Wichita, KS",Msa,KS,2683.0,2548.0,2569.0,2634.0,2773.0,2919.0,3004.0,3068.0,3028.0,3037.0,2983.0,2868.0,2729.0,2601.0,2622.0,2686.0,2762.0,2807.0,2766.0,2746.0,2673.0,2638.0,2510.0,2346.0,2219.0,2165.0,2212.0,2206.0,2236.0,2183.0,2162.0,2110.0,2121.0,2129.0,2094.0,1957.0,1801.0,1566.0,1486.0,1453.0,1582.0,1671.0,1748.0,1804.0
395115,83,"Springfield, MA",Msa,MA,1778.0,1639.0,1663.0,1793.0,1998.0,2195.0,2328.0,2377.0,2372.0,2372.0,2276.0,2081.0,1853.0,1707.0,1723.0,1808.0,1983.0,2106.0,2183.0,2185.0,2176.0,2159.0,2059.0,1836.0,1607.0,1487.0,1517.0,1498.0,1524.0,1527.0,1567.0,1547.0,1536.0,1554.0,1487.0,1331.0,1156.0,1025.0,1003.0,1024.0,1127.0,1205.0,1265.0,1324.0
394440,84,"Fort Myers, FL",Msa,FL,14965.0,15940.0,17089.0,17240.0,16929.0,15922.0,14998.0,14291.0,13860.0,13959.0,14494.0,15261.0,16497.0,17576.0,18552.0,18597.0,18013.0,17139.0,16057.0,15156.0,14367.0,14163.0,14311.0,14531.0,15062.0,15450.0,15769.0,15061.0,14415.0,13592.0,12983.0,12249.0,11646.0,11324.0,10807.0,10227.0,9626.0,9024.0,7716.0,6215.0,4969.0,4600.0,4450.0,4411.0
394399,85,"Boise City, ID",Msa,ID,3482.0,3170.0,3214.0,3544.0,3818.0,4021.0,4102.0,4323.0,4456.0,4497.0,4336.0,4000.0,3691.0,3451.0,3515.0,3763.0,4097.0,4360.0,4478.0,4530.0,4523.0,4512.0,4359.0,4035.0,3683.0,3487.0,3580.0,3680.0,3940.0,3986.0,3879.0,"","","","",2253.0,1934.0,1767.0,1874.0,2021.0,2318.0,2597.0,2950.0,3363.0
395160,86,"Toledo, OH",Msa,OH,2426.0,2323.0,2357.0,2424.0,2527.0,2609.0,2713.0,2819.0,2854.0,2825.0,2675.0,2458.0,2252.0,2085.0,2098.0,2167.0,2295.0,2380.0,2412.0,2451.0,2448.0,2463.0,2404.0,2276.0,2124.0,2025.0,2012.0,1951.0,1952.0,1934.0,1942.0,1895.0,1858.0,1860.0,1779.0,1633.0,1468.0,1329.0,1286.0,1290.0,1383.0,1483.0,1608.0,1740.0
394816,87,"Madison, WI",Msa,WI,2311.0,2162.0,2342.0,2734.0,3165.0,3468.0,3587.0,3583.0,3482.0,3350.0,3122.0,2766.0,2435.0,2274.0,2414.0,2699.0,3101.0,3412.0,3560.0,3541.0,3467.0,3396.0,3189.0,2851.0,2500.0,2365.0,2538.0,2730.0,2921.0,2972.0,3080.0,3095.0,3052.0,3017.0,2878.0,2600.0,2205.0,1930.0,1936.0,2092.0,2331.0,2510.0,2664.0,2725.0
394766,88,"Lakeland, FL",Msa,FL,4163.0,4213.0,4397.0,4502.0,4567.0,4538.0,4501.0,4532.0,4612.0,4698.0,4738.0,4693.0,4863.0,5073.0,5413.0,5421.0,5329.0,5309.0,5337.0,5437.0,5422.0,5472.0,5424.0,5257.0,5187.0,5207.0,5313.0,5153.0,5070.0,4905.0,4846.0,4615.0,4434.0,4293.0,4105.0,3860.0,3610.0,3351.0,3131.0,2790.0,2594.0,2469.0,2503.0,2617.0
394931,89,"Ogden, UT",Msa,UT,1649.0,1574.0,1667.0,1820.0,2099.0,2299.0,2426.0,2555.0,2656.0,2754.0,2665.0,2447.0,2242.0,2129.0,2223.0,2335.0,2547.0,2734.0,2869.0,2937.0,2976.0,2991.0,2839.0,2528.0,2207.0,1992.0,2080.0,2194.0,2383.0,2345.0,2261.0,2068.0,1887.0,1822.0,1662.0,1494.0,1288.0,1147.0,1189.0,1224.0,1394.0,1494.0,1601.0,1733.0
394528,90,"Daytona Beach, FL",Msa,FL,5553.0,5660.0,5930.0,6153.0,6331.0,6400.0,6375.0,6365.0,6296.0,6290.0,6286.0,6256.0,6368.0,6508.0,6808.0,6819.0,6771.0,6692.0,6687.0,6657.0,6540.0,6480.0,6424.0,6291.0,6313.0,6381.0,6605.0,6483.0,6462.0,6232.0,6000.0,5537.0,5163.0,4950.0,4724.0,4525.0,4384.0,4267.0,4106.0,3879.0,3822.0,3892.0,3999.0,4166.0
394531,91,"Des Moines, IA",Msa,IA,3719.0,3689.0,4053.0,4238.0,4458.0,4459.0,4576.0,4646.0,4656.0,4672.0,4542.0,4283.0,4047.0,3866.0,3927.0,4084.0,4353.0,4531.0,4637.0,4735.0,4814.0,4841.0,4738.0,4494.0,4238.0,4085.0,4194.0,4279.0,4441.0,4363.0,4281.0,4035.0,3845.0,3781.0,3652.0,3452.0,3176.0,2980.0,3010.0,3107.0,3257.0,3295.0,3308.0,3370.0
395006,100,"Provo, UT",Msa,UT,1864.0,1745.0,1816.0,2056.0,2535.0,2971.0,3265.0,3394.0,3408.0,3484.0,3517.0,3457.0,3322.0,3195.0,3327.0,3538.0,3873.0,4125.0,4265.0,4347.0,4260.0,4180.0,3922.0,3584.0,3258.0,3029.0,3140.0,3315.0,3667.0,3719.0,3559.0,3163.0,2821.0,2586.0,2232.0,1856.0,1501.0,1281.0,1306.0,1394.0,1641.0,1832.0,2011.0,2172.0
394549,104,"Durham, NC",Msa,NC,1674.0,1613.0,1774.0,1966.0,2160.0,2213.0,2246.0,2252.0,2216.0,2207.0,2117.0,1994.0,1856.0,1789.0,1900.0,2085.0,2339.0,2488.0,2516.0,2495.0,2462.0,2481.0,2394.0,2247.0,2078.0,2000.0,2042.0,2035.0,2089.0,2070.0,2075.0,1988.0,1885.0,1837.0,1713.0,1558.0,1428.0,1356.0,1374.0,1326.0,1317.0,1297.0,1316.0,1360.0
394602,159,"Fort Collins, CO",Msa,CO,2309.0,2137.0,2266.0,2523.0,2872.0,3131.0,3368.0,3485.0,3489.0,3524.0,3464.0,3260.0,2913.0,2653.0,2713.0,2965.0,3369.0,3484.0,3486.0,3345.0,3339.0,3229.0,2997.0,2667.0,2451.0,2319.0,2380.0,2387.0,2645.0,2869.0,3074.0,2999.0,2933.0,2785.0,2526.0,2154.0,1873.0,1795.0,1872.0,2009.0,2162.0,2260.0,2293.0,2295.0
